benchmark,time,precison,recall,f-measure,truePositive,falsePositive,falseNegative
small-fma-nci,1.3447,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,2.2545,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,2.1579,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,2.3160,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,2.3658,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,2.2910,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,2.1715,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,5.6425,0.0000,0.0000,0.0000,0,0,2686
small-fma-nci,6.1919,0.0000,0.0000,0.0000,0,2734,2686
small-fma-nci,6.0653,0.4970,0.9170,0.6450,2463,2488,223
