benchmark,time,precison,recall,f-measure,truePositive,falsePositive,falseNegative
whole-fma-nci,37.4493,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,40.5007,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,19.5323,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,40.8881,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,31.6530,0.0000,0.0000,0.0000,0,0,2686
whole-fma-nci,13.3902,0.0000,0.0000,0.0000,0,0,2686
whole-fma-nci,13.3255,0.0000,0.0000,0.0000,0,0,2686
whole-fma-nci,18.6961,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,19.0876,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,19.0201,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,18.2323,0.4920,0.9170,0.6400,2463,2541,223
whole-fma-nci,19.3038,0.4920,0.9170,0.6400,2463,2541,223
